,played_at,track_name,explicit,duration_ms,type,playlist_url
1587,2017-04-15T14:12:17.373Z,Born To Boogie,False,162333,artist,
1588,2017-06-07T07:58:33.370Z,Generation-X - WAIO Remix,False,474000,album,https://open.spotify.com/album/2oIhQQO0GvswOJ6gNiLThC
1589,2017-05-19T06:50:34.053Z,Hercules,False,252933,,
1590,2017-05-09T21:05:09.981Z,Corners,False,219967,playlist,
1591,2017-04-06T23:35:59.944Z,God Walked Down,False,231335,playlist,
1592,2017-04-14T11:31:14.293Z,La silence des cendres,False,194000,playlist,
1593,2017-04-19T21:09:52.024Z,Loving You Baby,False,212312,playlist,
1594,2017-06-27T02:00:54.609Z,Journey,False,303655,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
1595,2017-05-18T09:53:49.682Z,Hood Took Me Under,False,219266,playlist,
1596,2017-05-09T20:21:49.958Z,Freaky Feedback Blues,False,224160,playlist,
1597,2017-04-22T21:08:49.407Z,Ayaan,False,77142,playlist,
1598,2017-04-22T17:49:51.130Z,Little Red Rooster,False,149400,,
1599,2017-04-19T10:00:41.875Z,No Rain - Live 2001,False,458093,album,
1600,2017-05-22T13:45:15.519Z,El Pueblo Unido,False,208973,playlist,
1601,2017-04-10T12:43:57.292Z,Tainted Love,False,153880,playlist,
1602,2017-04-09T21:23:39.895Z,The Richest Man In Babylon,False,230266,playlist,
1603,2017-04-15T21:55:19.867Z,Burn the Witch,False,322813,album,
1604,2017-05-28T15:33:49.210Z,Hardwork,False,123993,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX55dNU0PWnO5
1605,2017-05-23T08:23:10.649Z,Liar,False,183546,album,https://open.spotify.com/album/451kD1EliOug21dypPYnMn
1606,2017-04-22T21:43:24.128Z,American Dixieland Jazz Traditionals,False,77419,playlist,
1607,2017-06-27T01:00:51.431Z,Simply Blue,False,622720,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
1608,2017-06-12T16:59:46.791Z,L.A.LOVE (la la),False,192653,playlist,https://open.spotify.com/user/1170891844/playlist/2owxd85nzUvvqI9zf7r4xp
1609,2017-05-23T08:11:08.248Z,Birdwatching,False,211133,album,https://open.spotify.com/album/451kD1EliOug21dypPYnMn
1610,2017-04-16T13:35:13.308Z,Dancing In the Dark,False,241306,playlist,
1611,2017-04-05T12:57:52.806Z,Chariots,False,276586,playlist,
1612,2017-05-24T13:58:46.128Z,My Ship Is Comin' In,False,189600,album,https://open.spotify.com/album/4he7R24eqd1EbF9kegiAK8
1613,2017-05-25T09:15:31.588Z,Me And My B*tch,True,240480,album,https://open.spotify.com/album/2HTbQ0RHwukKVXAlTmCZP2
1614,2017-05-13T19:38:55.662Z,Moanin',False,576173,,
1615,2017-05-29T06:40:36.917Z,Chemical Bond,False,519000,album,https://open.spotify.com/album/0Gpzpr7DcOXAWM3lXUR1bP
1616,2017-06-28T18:38:09.385Z,Me Name Jr. Gong,False,230693,playlist,https://open.spotify.com/user/1170891844/playlist/7wTHTF5SrAQvdWWhlnDIuq
1617,2017-04-18T11:19:06.033Z,Born To Roll,True,254573,playlist,
1618,2017-04-13T20:46:30.003Z,Shook Ones Pt. 11,False,81200,album,
1619,2017-04-02T19:11:38.606Z,Cold Blooded,False,359280,playlist,
1620,2017-06-21T09:02:53.898Z,Fucking in Heaven,True,234880,album,https://open.spotify.com/album/2ELLu16F9TTREQuU4OuAnN
1621,2017-04-21T09:07:08.421Z,Sidewalk Stepper,False,75040,album,
1622,2017-06-29T12:34:15.499Z,Screaming Hands - Dreamscape UK Mix,False,271673,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX4dyzvuaRJ0n
1623,2017-06-19T19:12:59.902Z,On the Dub-ble,False,121280,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXcGxnwyDbJhDT
1624,2017-04-15T14:39:17.014Z,Boom Boom,False,160560,playlist,
1625,2017-06-04T18:00:58.915Z,What Would You Do - Hurley's Extended Mix,False,265920,album,https://open.spotify.com/album/2SRQRJDijX4d1KsVQjVFgP
1626,2017-05-26T12:16:43.702Z,Beyond The Senses,False,465000,playlist,https://open.spotify.com/user/snip3rwarface/playlist/6KSomEjXOrrQzb5uLDcemw
1627,2017-04-10T12:12:09.492Z,I'm Still Standing,False,183440,playlist,
1628,2017-06-02T21:04:06.161Z,Habiba,True,215978,playlist,https://open.spotify.com/user/1170891844/playlist/5ZSewQun1V59quoFUx23UF
1629,2017-04-06T09:36:08.696Z,Rock Your Body,False,267266,playlist,
1630,2017-04-09T17:59:03.663Z,Where Did You Sleep Last Night,False,181892,,
1631,2017-05-13T18:26:41.505Z,Big Red,False,225840,album,
